"id","dark","notice","notice 2","notice 3","notice 4","notice 5","ProblemRating","dark 3","tablescraper-selected-row","tablescraper-selected-row 2","right"
"2075A","To Zero","贪心（greedy）","数学（math）","","","","800","x25527","","",""
"2074G","","动态规划（dp）","计算几何（geometry）","","","","2100","","Game With Triangles: Season 2",",","x1720"
"2074F","Counting Necessary Nodes","状态压缩（bitmasks）","分治（divide and conquer）","贪心（greedy）","模拟（implementation）","数学（math）","2000","x2086","","",""
"2074E","","计算几何（geometry）","交互题（interactive）","概率论（probabilities）","","","1600","","Empty Triangle",",
                        ,","x5466"
"2074D","Counting Points","暴力枚举（brute force）","数据结构（data structures）","计算几何（geometry）","模拟（implementation）","双指针（two pointers）","1400","x10368","","",""
"2074C","","状态压缩（bitmasks）","暴力枚举（brute force）","计算几何（geometry）","贪心（greedy）","概率论（probabilities）","1100","","XOR and Triangle",",
                        ,
                        ,
                        ,","x19484"
"2074B","The Third Side","计算几何（geometry）","贪心（greedy）","数学（math）","","","800","x31414","","",""
"2074A","","计算几何（geometry）","模拟（implementation）","","","","800","","Draw a Square",",","x38234"
"2073M","Can You Reach There?","","","","","","3300","x60","","",""
"2073L","","","","","","","1300","","Boarding Queue","","x1301"
"2073K","Book Sorting","","","","","","2900","x181","","",""
"2073J","","","","","","","2000","","Gathering Sharks","","x821"
"2073I","Squares on Grid Lines","","","","","","3100","x93","","",""
"2073H","","交互题（interactive）","","","","","2700","","Secret Lilies and Roses","","x259"
"2073G","Corrupted File","","","","","","2200","x662","","",""
"2073F","","","","","","","3500","","Hold the Star","","x44"
"2073E","Minus Operator","交互题（interactive）","","","","","3300","x60","","",""
"2073D","","","","","","","2400","","Tower of Hanoi","","x401"
"2073C","Cactus Connectivity","","","","","","2700","x249","","",""
"2073B","","","","","","","3500","","Three-Dimensional Embedding","","x23"
"2073A","Control Towers","","","","","","1900","x912","","",""
"2072G","","二分（binary search）","暴力枚举（brute force）","组合数学（combinatorics）","分治（divide and conquer）","数学（math）","2200","","I've Been Flipping Numbers for 300 Years and Calculated the Sum",",
                        ,
                        ,
                        ,
                        ,","x1820"
"2072F","Goodbye, Banker Life","2-SAT（2-sat）","状态压缩（bitmasks）","组合数学（combinatorics）","构造（constructive algorithms）","快速傅里叶变换（fft）","1700","x7080","","",""
"2072E","","二分（binary search）","暴力枚举（brute force）","构造（constructive algorithms）","动态规划（dp）","计算几何（geometry）","1500","","Do You Love Your Hero and His Two-Hit Multi-Target Attacks?",",
                        ,
                        ,
                        ,
                        ,
                        ,","x10519"
"2072D","For Wizards, the Exam Is Easy, but I Couldn't Handle It","暴力枚举（brute force）","贪心（greedy）","模拟（implementation）","","","1300","x15597","","",""
"2072C","","状态压缩（bitmasks）","构造（constructive algorithms）","贪心（greedy）","","","1200","","Creating Keys for StORages Has Become My Main Skill",",
                        ,","x17251"
"2072B","Having Been a Treasurer in the Past, I Help Goblins Deceive","组合数学（combinatorics）","构造（constructive algorithms）","字符串处理（strings）","","","900","x27771","","",""
"2072A","","贪心（greedy）","模拟（implementation）","数学（math）","","","800","","New World, New Me, New Array",",
                        ,","x37220"
"2071F","Towering Arrays","二分（binary search）","数据结构（data structures）","","","","2700","x219","","",""
"2071E","","组合数学（combinatorics）","动态规划（dp）","概率论（probabilities）","树形结构（trees）","","2600","","LeaFall",",
                        ,
                        ,","x435"
"2071D2","Infinite Sequence (Hard Version)","状态压缩（bitmasks）","暴力枚举（brute force）","构造（constructive algorithms）","数据结构（data structures）","动态规划（dp）","2500","x848","","",""
"2071D1","","状态压缩（bitmasks）","暴力枚举（brute force）","动态规划（dp）","模拟（implementation）","数学（math）","1800","","Infinite Sequence (Easy Version)",",
                        ,
                        ,
                        ,","x5585"
"2071C","Trapmigiano Reggiano","构造（constructive algorithms）","数据结构（data structures）","DFS及其变种（dfs and similar）","动态规划（dp）","贪心（greedy）","1700","x8076","","",""
"2071B","","暴力枚举（brute force）","构造（constructive algorithms）","贪心（greedy）","数学（math）","","1100","","Perfecto",",
                        ,
                        ,","x18569"
"2071A","The Play Never Ends","数学（math）","数论（number theory）","","","","800","x25575","","",""
"2070F","","状态压缩（bitmasks）","分治（divide and conquer）","动态规划（dp）","快速傅里叶变换（fft）","","3000","","Friends and Pizza",",
                        ,
                        ,","x278"
"2070E","Game with Binary String","构造（constructive algorithms）","数据结构（data structures）","分治（divide and conquer）","博弈论（games）","贪心（greedy）","2200","x1468","","",""
"2070D","","DFS及其变种（dfs and similar）","动态规划（dp）","树形结构（trees）","","","1600","","Tree Jumps",",
                        ,","x8805"
"2070C","Limited Repainting","二分（binary search）","贪心（greedy）","","","","1500","x11623","","",""
"2070B","","暴力枚举（brute force）","模拟（implementation）","数学（math）","","","1100","","Robot Program",",
                        ,","x17811"
"2070A","FizzBuzz Remixed","暴力枚举（brute force）","数学（math）","","","","800","x24418","","",""
"2069F","","数据结构（data structures）","DFS及其变种（dfs and similar）","分治（divide and conquer）","并查集（dsu）","图论（graphs）","2800","","Graph Inclusion",",
                        ,
                        ,
                        ,","x642"
"2069E","A, B, AB and BA","构造（constructive algorithms）","贪心（greedy）","排序（sortings）","字符串处理（strings）","","2300","x1592","","",""
"2069D","","二分（binary search）","贪心（greedy）","哈希表（hashing）","字符串处理（strings）","双指针（two pointers）","1800","","","",""
"2069C","Beautiful Sequence","combinatorics","dp","greedy","two pointers","","1500","x12484","","",""
"2069B","","greedy","matrices","","","","1200","","Set of Strangers",",","x16824"
"2069A","Was there an Array?","graph matchings","greedy","","","","800","x25050","","",""
"2068K","","flows","graphs","","","","3000","","Amusement Park Rides",",","x149"
"2068J","The Ultimate Wine Tasting Event","combinatorics","greedy","","","","2000","x1157","","",""
"2068I","","graphs","shortest paths","","","","3500","","Pinball",",","x33"
"2068H","Statues","constructive algorithms","greedy","math","","","2700","x310","","",""
"2068G","","shortest paths","","","","","3500","","A Very Long Hike","","x35"
"2068F","Mascot Naming","brute force","greedy","implementation","strings","","1900","x977","","",""
"2068E","","data structures","dfs and similar","dsu","graphs","shortest paths","2800","","Porto Vs. Benfica",",
                        ,
                        ,
                        ,","x252"
"2068D","Morse Code","dp","sortings","trees","","","3100","x170","","",""
"2068C","","binary search","greedy","two pointers","","","2100","","Ads",",
                        ,","x1138"
"2068B","Urban Planning","constructive algorithms","","","","","3100","x85","","",""
"2068A","","constructive algorithms","graphs","greedy","probabilities","","2300","","Condorcet Elections",",
                        ,
                        ,","x731"
"2067C","Devyatkino","brute force","dfs and similar","greedy","math","","1500","x11173","","",""
"2067B","","brute force","dp","greedy","sortings","","1200","","","","x16573"
"2067A","Adjacent Digit Sums","brute force","constructive algorithms","math","","","800","x23765","","",""
"2066F","","constructive algorithms","dp","math","","","3300","","Curse",",
                        ,","x51"
"2066E","Tropical Season","binary search","data structures","greedy","implementation","","3300","x307","","",""
"2066D2","","combinatorics","dp","math","","","2900","","Club of Young Aircraft Builders (hard version)",",
                        ,","x456"
"2066D1","Club of Young Aircraft Builders (easy version)","combinatorics","dp","math","","","2400","x1114","","",""
"2066C","","bitmasks","combinatorics","dp","math","","2300","","Bitwise Slides",",
                        ,
                        ,","x2014"
"2066B","White Magic","constructive algorithms","data structures","dp","greedy","implementation","1900","x4497","","",""
"2066A","","graphs","greedy","implementation","interactive","","1400","","","","x6069"
"2065H","Bro Thinks He's Him","combinatorics","data structures","divide and conquer","dp","math","2200","x1597","","",""
"2065G","","combinatorics","math","number theory","","","1700","","Skibidus and Capping",",
                        ,","x5046"
"2065F","Skibidus and Slay","data structures","dfs and similar","graphs","greedy","trees","1700","x5788","","",""
"2065E","","constructive algorithms","greedy","strings","","","1600","","Skibidus and Rizz",",
                        ,","x10020"
"2065D","Skibidus and Sigma","greedy","sortings","","","","1200","x17900","","",""
"2065C2","","binary search","greedy","","","","1300","","","","x16016"
"2065C1","Skibidus and Fanum Tax (easy version)","binary search","dp","greedy","","","1100","x24120","","",""
"2065B","","strings","","","","","800","","Skibidus and Ohio","","x36261"
"2065A","Skibidus and Amog'u","brute force","constructive algorithms","greedy","implementation","strings","800","x47519","","",""
"2064F","","binary search","data structures","dp","two pointers","","2600","","We Be Summing",",
                        ,
                        ,","x569"
"2064E","Mycraft Sand Sort","combinatorics","data structures","dsu","greedy","math","2400","x1145","","",""
"2064D","","binary search","bitmasks","brute force","data structures","dp","1900","","","","x4914"
"2064C","Remove the Ends","brute force","constructive algorithms","dp","greedy","","1300","x15339","","",""
"2064B","","binary search","constructive algorithms","greedy","two pointers","","1100","","","","x18067"
"2064A","Brogramming Contest","greedy","strings","","","","800","x25281","","",""
"2063F2","","combinatorics","data structures","dfs and similar","dsu","graphs","2700","","Counting Is Not Fun (Hard Version)",",
                        ,
                        ,
                        ,
                        ,
                        ,","x738"
"2063F1","Counting Is Not Fun (Easy Version)","combinatorics","data structures","dfs and similar","dp","dsu","2400","x1277","","",""
"2063E","","data structures","dfs and similar","dp","greedy","trees","2300","","Triangle Tree",",
                        ,
                        ,
                        ,","x2012"
"2063D","Game With Triangles","binary search","brute force","data structures","geometry","greedy","2000","x4349","","",""
"2063C","","brute force","data structures","dfs and similar","dp","graphs","1600","","","","x12418"
"2063B","Subsequence Update","constructive algorithms","data structures","greedy","sortings","","1100","x21219","","",""
"2063A","","math","number theory","","","","800","","","","x29327"
"2062H","Galaxy Generator","bitmasks","combinatorics","dp","","","3500","x113","","",""
"2062G","","flows","geometry","graph matchings","graphs","","3500","","Permutation Factory",",
                        ,
                        ,","x126"
"2062F","Traveling Salescat","constructive algorithms","dp","geometry","graphs","greedy","2900","x507","","",""
"2062E2","","data structures","dfs and similar","games","graphs","implementation","3000","","The Game (Hard Version)",",
                        ,
                        ,
                        ,
                        ,","x365"
"2062E1","The Game (Easy Version)","data structures","dfs and similar","games","graphs","greedy","2000","x3827","","",""
"2062D","","dfs and similar","dp","graphs","greedy","trees","2200","","Balanced Tree",",
                        ,
                        ,
                        ,","x3125"
"2062C","Cirno and Operations","brute force","math","","","","1200","x16686","","",""
"2062B","","greedy","math","","","","900","","Clockwork",",","x21441"
"2062A","String","constructive algorithms","greedy","math","strings","","800","x26307","","",""
"2061I","","divide and conquer","dp","","","","3500","","Kevin and Nivek",",","x63"
"2061H2","Kevin and Stones (Hard Version)","flows","graphs","","","","3500","x35","","",""
"2061H1","","flows","graph matchings","graphs","","","3500","","Kevin and Stones (Easy Version)",",
                        ,","x62"
"2061G","Kevin and Teams","constructive algorithms","graphs","interactive","","","2900","x417","","",""
"2061F2","","data structures","dp","","","","3500","","Kevin and Binary String (Hard Version)",",","x113"
"2061F1","Kevin and Binary String (Easy Version)","greedy","implementation","","","","2100","x1976","","",""
"2061E","","bitmasks","brute force","dp","greedy","math","2000","","Kevin and And",",
                        ,
                        ,
                        ,
                        ,","x3390"
"2061D","Kevin and Numbers","bitmasks","data structures","","","","1600","x9263","","",""
"2061C","","2-sat","combinatorics","dp","","","1600","","Kevin and Puzzle",",
                        ,","x8493"
"2061B","Kevin and Geometry","binary search","geometry","","","","1100","x13402","","",""
"2061A","","math","","","","","800","","Kevin and Arithmetic","","x20737"
"2060G","Bugged Sort","dp","greedy","sortings","","","2400","x1061","","",""
"2060F","","combinatorics","dp","number theory","","","2200","","Multiplicative Arrays",",
                        ,","x2207"
"2060E","Graph Composition","dfs and similar","dsu","graphs","greedy","","1500","x10135","","",""
"2060D","","greedy","","","","","1100","","","","x23834"
"2060C","Game of Mathletes","games","greedy","sortings","two pointers","","900","x28282","","",""
"2060B","","greedy","sortings","","","","1000","","","","x25755"
"2060A","Fibonacciness","brute force","","","","","800","x37456","","",""
"2059E2","","brute force","constructive algorithms","data structures","hashing","strings","2900","","Stop Gaming (Hard Version)",",
                        ,
                        ,
                        ,","x309"
"2059E1","Stop Gaming (Easy Version)","brute force","constructive algorithms","greedy","hashing","strings","2500","x788","","",""
"2059D","","data structures","graphs","greedy","shortest paths","","1900","","Graph and Graph",",
                        ,
                        ,","x5659"
"2059C","Customer Service","brute force","constructive algorithms","graph matchings","greedy","math","1600","x11072","","",""
"2059B","","brute force","constructive algorithms","greedy","math","","1300","","","","x16945"
"2059A","Milya and Two Arrays","constructive algorithms","greedy","sortings","","","800","x27398","","",""
"2057H","","data structures","greedy","math","","","3500","","Coffee Break",",
                        ,","x159"
"2057G","Secret Message","constructive algorithms","dfs and similar","math","","","3000","x582","","",""
"2057F","","binary search","data structures","dp","sortings","two pointers","3300","","Formation",",
                        ,
                        ,
                        ,","x221"
"2057E2","Another Exercise on Graphs (hard version)","binary search","dfs and similar","dp","dsu","graphs","2500","x1659","","",""
"2057E1","","binary search","brute force","dp","dsu","graphs","2300","","Another Exercise on Graphs (Easy Version)",",
                        ,
                        ,
                        ,
                        ,
                        ,","x2292"
"2057D","Gifts Order","data structures","greedy","implementation","math","matrices","2000","x4744","","",""
"2057C","","bitmasks","constructive algorithms","greedy","math","","1500","","Trip to the Olympiad",",
                        ,
                        ,","x12342"
"2057B","Gorilla and the Exam","greedy","sortings","","","","1000","x21131","","",""
"2057A","","constructive algorithms","math","","","","800","","","","x26142"
"2056F2","Xor of Median (Hard Version)","bitmasks","brute force","combinatorics","dp","math","3000","x215","","",""
"2056F1","","bitmasks","brute force","combinatorics","dp","math","2700","","Xor of Median (Easy Version)",",
                        ,
                        ,
                        ,","x329"
"2056E","Nested Segments","combinatorics","dfs and similar","dp","dsu","math","2500","x882","","",""
"2056D","","binary search","brute force","combinatorics","data structures","divide and conquer","2200","","Unique Median",",
                        ,
                        ,
                        ,
                        ,","x3164"
"2056C","Palindromic Subsequences","brute force","constructive algorithms","math","","","1200","x17499","","",""
"2056B","","brute force","dfs and similar","graphs","implementation","sortings","1300","","","","x16315"
"2056A","Shape Perimeter","constructive algorithms","math","","","","800","x25484","","",""
"2055F","","brute force","geometry","hashing","math","strings","3200","","Cosmic Divide",",
                        ,
                        ,
                        ,","x77"
"2055E","Haystacks","brute force","constructive algorithms","data structures","greedy","sortings","2800","x400","","",""
"2055D","","greedy","implementation","math","","","2000","","Scarecrow",",
                        ,","x3942"
"2055C","The Trail","brute force","constructive algorithms","greedy","math","two pointers","1400","x15678","","",""
"2055B","","constructive algorithms","greedy","sortings","","","1000","","","",""
"2055A","Two Frogs","constructive algorithms","games","greedy","math","","800","x31422","","",""
"2053I2","","data structures","dp","graphs","greedy","math","3500","","Affectionate Arrays (Hard Version)",",
                        ,
                        ,
                        ,
                        ,
                        ,","x52"
"2053I1","Affectionate Arrays (Easy Version)","data structures","dp","greedy","","","2800","x460","","",""
"2053H","","constructive algorithms","implementation","","","","3500","","Delicate Anti-monotonous Operations",",","x55"
"2053G","Naive String Splits","binary search","brute force","greedy","hashing","math","3400","x202","","",""
"2053F","","brute force","data structures","dp","greedy","implementation","2600","","Earnest Matrix Complement",",
                        ,
                        ,
                        ,
                        ,","x864"
"2053E","Resourceful Caterpillar Sequence","dfs and similar","dp","games","graphs","greedy","1900","x3998","","",""
"2053D","","binary search","data structures","greedy","math","schedules","1700","","Refined Product Optimality",",
                        ,
                        ,
                        ,
                        ,","x7001"
"2053C","Bewitching Stargazer","bitmasks","divide and conquer","dp","math","","1500","x11058","","",""
"2053B","","binary search","brute force","data structures","greedy","","1200","","Outstanding Impressionist",",
                        ,
                        ,","x15584"
"2053A","Tender Carpenter","dp","geometry","greedy","math","","800","x20294","","",""
"2052M","","dp","graphs","math","trees","","2700","","Managing Cluster",",
                        ,
                        ,","x320"
"2052L","Legacy Screensaver","","","","","","2900","x114","","",""
"2052K","","","","","","","2800","","Knowns and Unknowns","","x84"
"2052J","Judicious Watching","binary search","greedy","sortings","","","2000","x1204","","",""
"2052I","","graphs","shortest paths","","","","2800","","Incompetent Delivery Guy",",","x110"
"2052H","Hunting Hoglins in Hogwarts","interactive","","","","","3500","x47","","",""
"2052G","","data structures","geometry","implementation","","","2800","","Geometric Balance",",
                        ,","x166"
"2052F","Fix Flooded Floor","constructive algorithms","dp","graphs","","","1700","x2833","","",""
"2052E","","brute force","expression parsing","strings","","","1900","","Expression Correction",",
                        ,","x1220"
"2052D","DAG Serialization","brute force","graphs","","","","2100","x923","","",""
"2052C","","constructive algorithms","math","","","","3500","","Cactus without Bridges",",","x32"
"2052B","BitBitJump","","","","","","2400","x364","","",""
"2052A","","constructive algorithms","","","","","1600","","Adrenaline Rush","","x3281"
"2051G","Snakes","bitmasks","dp","dsu","graphs","","2100","x2007","","",""
"2051F","","brute force","greedy","implementation","math","","2000","","Joker",",
                        ,
                        ,","x3488"
"2051E","Best Price","binary search","brute force","data structures","greedy","sortings","1600","x10259","","",""
"2051D","","binary search","sortings","two pointers","","","1200","","","","x20685"
"2051C","Preparing for the Exam","constructive algorithms","implementation","","","","1000","x24929","","",""
"2051B","","binary search","math","","","","800","","","","x34760"
"2051A","Preparing for the Olympiad","greedy","","","","","800","x32477","","",""
"2050G","","dfs and similar","dp","trees","","","1900","","Tree Destruction",",
                        ,","x4559"
"2050F","Maximum modulo equality","data structures","divide and conquer","math","number theory","","1700","x8152","","",""
"2050E","","dp","implementation","strings","","","1500","","","","x12430"
"2050D","Digital string maximization","brute force","greedy","math","strings","","1300","x17064","","",""
"2050C","","brute force","dp","math","","","1200","","","","x22028"
"2050B","Transfusion","brute force","greedy","math","","","1100","x24736","","",""
"2050A","","implementation","","","","","800","","","","x34073"
"2049F","MEX OR Mania","bitmasks","brute force","data structures","dsu","implementation","2700","x501","","",""
"2049E","","binary search","bitmasks","brute force","constructive algorithms","implementation","2400","","Broken Queries",",
                        ,
                        ,
                        ,
                        ,","x1407"
"2049D","Shift + Esc","brute force","dp","","","","1900","x5251","","",""
"2049C","","brute force","constructive algorithms","greedy","implementation","","1500","","MEX Cycle",",
                        ,
                        ,","x12201"
"2049B","pspspsps","brute force","constructive algorithms","graph matchings","implementation","","1300","x17251","","",""
"2049A","","greedy","implementation","","","","800","","MEX Destruction",",","x22921"
"2048I2","Kevin and Puzzle (Hard Version)","bitmasks","fft","math","","","3500","x33","","",""
"2048I1","","constructive algorithms","","","","","3500","","Kevin and Puzzle (Easy Version)","","x74"
"2048H","Kevin and Strange Operation","data structures","dp","","","","3100","x179","","",""
"2048G","","brute force","combinatorics","dp","math","","2800","","Kevin and Matrices",",
                        ,
                        ,","x560"
"2048F","Kevin and Math Class","brute force","data structures","divide and conquer","dp","implementation","2500","x1141","","",""
"2048E","","constructive algorithms","graphs","greedy","","","2000","","Kevin and Bipartite Graph",",
                        ,","x3003"
"2048D","Kevin and Competition Memories","binary search","brute force","data structures","greedy","sortings","1600","x7384","","",""
"2048C","","bitmasks","brute force","greedy","implementation","strings","1200","","Kevin and Binary Strings",",
                        ,
                        ,
                        ,","x13817"
"2048B","Kevin and Permutation","constructive algorithms","greedy","","","","900","x18985","","",""
"2048A","","brute force","greedy","implementation","math","number theory","800","","","","x21535"
"2047B","Replace Character","brute force","combinatorics","greedy","strings","","900","x17053","","",""
"2047A","","implementation","math","","","","800","","Alyona and a Square Jigsaw Puzzle",",","x16777"
"2046F2","Yandex Cuneiform (Hard Version)","constructive algorithms","data structures","greedy","implementation","","3500","x70","","",""
"2046F1","","constructive algorithms","data structures","greedy","","","3300","","Yandex Cuneiform (Easy Version)",",
                        ,","x85"
"2046E2","Cheops and a Contest (Hard Version)","greedy","implementation","","","","3500","x58","","",""
"2046E1","","constructive algorithms","greedy","","","","2900","","Cheops and a Contest (Easy Version)",",","x175"
"2046D","For the Emperor!","flows","graphs","","","","3100","x492","","",""
"2046C","","binary search","data structures","greedy","sortings","ternary search","2100","","Adventurers",",
                        ,
                        ,
                        ,
                        ,","x2064"
"2046B","Move Back at a Cost","binary search","data structures","greedy","sortings","","1600","x9376","","",""
"2046A","","greedy","sortings","","","","1200","","Swap Columns and Find a Path",",","x15186"
"2045M","Mirror Maze","brute force","dfs and similar","graphs","implementation","","1800","x1706","","",""
"2045L","","constructive algorithms","","","","","3000","","Buggy DFS","","x116"
"2045K","GCDDCG","","","","","","2900","x84","","",""
"2045J","","bitmasks","data structures","","","","2600","","Xorderable Array",",","x269"
"2045I","Microwavable Subsequence","data structures","","","","","2100","x1004","","",""
"2045H","","dp","sortings","string suffix structures","strings","","2200","","Missing Separators",",
                        ,
                        ,","x621"
"2045G","X Aura","graphs","math","shortest paths","","","2200","x729","","",""
"2045F","","games","math","","","","3000","","Grid Game 3-angle",",","x110"
"2045E","Narrower Passageway","combinatorics","data structures","","","","2700","x219","","",""
"2045D","","","","","","","3500","","Aquatic Dragon","","x36"
"2045C","Saraga","greedy","strings","","","","1400","x5719","","",""
"2045B","","math","number theory","","","","2000","","ICPC Square",",","x1285"
"2045A","Scrambled Scrabble","brute force","greedy","","","","1700","x2005","","",""
"2044H","","constructive algorithms","data structures","dp","implementation","math","2100","","Hard Demon Problem",",
                        ,
                        ,
                        ,","x2105"
"2044G2","Medium Demon Problem (hard version)","dfs and similar","dp","dsu","graphs","implementation","1900","x3050","","",""
"2044G1","","dfs and similar","graph matchings","graphs","implementation","trees","1700","","","","x6046"
"2044F","Easy Demon Problem","binary search","brute force","data structures","math","number theory","1900","x4865","","",""
"2044E","","binary search","greedy","implementation","math","number theory","1300","","Insane Problem",",
                        ,
                        ,
                        ,","x15806"
"2044D","Harder Problem","constructive algorithms","greedy","math","","","1100","x21631","","",""
"2044C","","greedy","math","","","","800","","Hard Problem",",","x40183"
"2044B","Normal Problem","implementation","strings","","","","800","x44812","","",""
"2044A","","brute force","math","","","","800","","Easy Problem",",","x50206"
"2043G","Problem with Queries","brute force","data structures","implementation","","","3000","x260","","",""
"2043F","","bitmasks","brute force","combinatorics","dp","games","2700","","Nim",",
                        ,
                        ,
                        ,
                        ,
                        ,
                        ,","x795"
"2043E","Matrix Transformation","bitmasks","brute force","data structures","dfs and similar","graphs","2300","x1650","","",""
"2043D","","brute force","flows","math","number theory","","1800","","Problem about GCD",",
                        ,
                        ,","x6629"
"2043C","Sums on Segments","binary search","brute force","data structures","dp","greedy","1600","x9790","","",""
"2043B","","math","number theory","","","","1100","","Digits",",","x19777"
"2043A","Coin Transformation","brute force","math","","","","800","x25391","","",""
"2042F","","data structures","dp","implementation","matrices","","2600","","Two Subarrays",",
                        ,
                        ,","x762"
"2042E","Vertex Pairs","binary search","brute force","data structures","dfs and similar","divide and conquer","2900","x447","","",""
"2042D","","data structures","implementation","sortings","two pointers","","1900","","Recommendations",",
                        ,
                        ,","x4266"
"2042C","Competitive Fishing","greedy","","","","","1800","x7723","","",""
"2042B","","games","greedy","","","","900","","Game with Colored Marbles",",","x17763"
"2042A","Greedy Monocarp","greedy","sortings","","","","800","x19657","","",""
"2041N","","","","","","","3300","","","",""
"2041M","Selection Sort","binary search","data structures","greedy","two pointers","","2000","x1054","","",""
"2041L","","","","","","","2900","","Building Castle","","x53"
"2041K","Trophic Balance Species","binary search","brute force","dfs and similar","graphs","","3100","x90","","",""
"2041J","","data structures","divide and conquer","dp","dsu","greedy","2700","","Bottle Arrangement",",
                        ,
                        ,
                        ,","x191"
"2041I","Auto Complete","binary search","data structures","hashing","implementation","sortings","2300","x528","","",""
"2041H","","combinatorics","dp","math","","","2300","","Sheet Music",",
                        ,","x774"
"2041G","Grid Game","","","","","","3100","x44","","",""
"2041F","","brute force","dfs and similar","number theory","","","2400","","Segmentation Folds",",
                        ,","x383"
"2041E","Beautiful Array","constructive algorithms","math","","","","1200","x8130","","",""
"2041D","","brute force","dfs and similar","graphs","shortest paths","","1700","","Drunken Maze",",
                        ,
                        ,","x2888"
"2041C","Cube","bitmasks","dfs and similar","dp","","","2000","x1483","","",""
"2041B","","binary search","brute force","math","","","1200","","Bowling Frame",",
                        ,","x6006"
"2041A","The Bento Box Adventure","implementation","sortings","","","","1300","x9575","","",""
"2040F","","combinatorics","dp","math","number theory","","2700","","Number of Cubes",",
                        ,
                        ,","x392"
"2040E","Control of Randomness","combinatorics","dfs and similar","dp","graphs","greedy","2100","x2266","","",""
"2040D","","brute force","constructive algorithms","dfs and similar","greedy","number theory","1900","","Non Prime Tree",",
                        ,
                        ,
                        ,
                        ,
                        ,","x5095"
"2040C","Ordered Permutations","bitmasks","combinatorics","constructive algorithms","greedy","math","1600","x9541","","",""
"2040B","","constructive algorithms","greedy","math","","","1000","","Paint a Strip",",
                        ,","x21889"
"2040A","Game of Division","games","math","","","","800","x23199","","",""
"2039H2","","constructive algorithms","constructive algorithms","constructive algorithms","implementation","sortings","3500","","Cool Swap Walk (Hard Version)",",
                        ,
                        ,
                        ,","x66"
"2039H1","Cool Swap Walk (Easy Version)","constructive algorithms","implementation","sortings","","","3500","x79","","",""
"2039G","","math","number theory","","","","3500","","Shohag Loves Pebae",",","x61"
"2039F2","Shohag Loves Counting (Hard Version)","dp","number theory","","","","3200","x230","","",""
"2039F1","","combinatorics","dp","math","number theory","","2800","","Shohag Loves Counting (Easy Version)",",
                        ,
                        ,","x419"
"2039E","Shohag Loves Inversions","combinatorics","dp","implementation","math","","2200","x2084","","",""
"2039D","","constructive algorithms","greedy","math","number theory","","1700","","Shohag Loves GCD",",
                        ,
                        ,","x6068"
"2039C2","Shohag Loves XOR (Hard Version)","bitmasks","brute force","math","number theory","","1800","x4470","","",""
"2039C1","","bitmasks","brute force","math","number theory","","1200","","Shohag Loves XOR (Easy Version)",",
                        ,
                        ,","x12056"
"2039B","Shohag Loves Strings","constructive algorithms","greedy","implementation","strings","","1000","x15385","","",""
"2039A","","constructive algorithms","number theory","","","","800","","Shohag Loves Mod",",","x17073"
"2038N","Fixing the Expression","implementation","","","","","800","x10330","","",""
"2038M","","dp","implementation","","","","2800","","Royal Flush",",","x276"
"2038L","Bridge Renovation","brute force","dp","greedy","math","two pointers","1400","x6767","","",""
"2038K","","brute force","dp","greedy","math","number theory","2100","","Grid Walk",",
                        ,
                        ,
                        ,","x1490"
"2038J","Waiting for...","greedy","implementation","","","","800","x7926","","",""
"2038I","","binary search","data structures","hashing","string suffix structures","strings","2500","","Polyathlon",",
                        ,
                        ,
                        ,","x638"
"2038H","Galactic Council","flows","","","","","3000","x141","","",""
"2038G","","constructive algorithms","implementation","interactive","","","1900","","Guess One Character",",
                        ,","x2466"
"2038F","Alternative Platforms","combinatorics","data structures","fft","math","sortings","2500","x413","","",""
"2038E","","data structures","greedy","math","","","2900","","Barrels",",
                        ,","x130"
"2038D","Divide OR Conquer","binary search","bitmasks","data structures","dp","implementation","2400","x708","","",""
"2038C","","data structures","geometry","greedy","sortings","","1400","","DIY",",
                        ,
                        ,","x5784"
"2038B","Make It Equal","binary search","brute force","greedy","math","","2100","x1592","","",""
"2038A","","games","greedy","","","","1400","","Bonus Project",",","x4563"
"2037G","Natlan Exploring","bitmasks","combinatorics","data structures","dp","math","2000","x3127","","",""
"2037F","","binary search","data structures","math","sortings","two pointers","2100","","Ardent Flames",",
                        ,
                        ,
                        ,","x2557"
"2037E","Kachina's Favorite Binary String","dp","greedy","interactive","two pointers","","1600","x6492","","",""
"2037D","","data structures","greedy","two pointers","","","1300","","","","x13235"
"2037C","Superultra's Favorite Permutation","constructive algorithms","greedy","math","number theory","","1000","x22993","","",""
"2037B","","brute force","implementation","","","","800","","","","x24053"
"2037A","Twice","implementation","","","","","800","x32596","","",""
"2036G","","binary search","constructive algorithms","divide and conquer","interactive","math","2200","","Library of Magic",",
                        ,
                        ,
                        ,
                        ,","x1455"
"2036F","XORificator 3000","bitmasks","dp","number theory","two pointers","","1900","x4426","","",""
"2036E","","binary search","constructive algorithms","data structures","greedy","","1600","","","","x8488"
"2036D","I Love 1543","brute force","implementation","matrices","","","1300","x14532","","",""
"2036C","","brute force","implementation","","","","1100","","Anya and 1100",",","x20482"
"2036B","Startup","greedy","sortings","","","","800","x27664","","",""
"2036A","","implementation","","","","","800","","Quintomania","","x37607"
"2035H","Peak Productivity Forces","constructive algorithms","","","","","3500","x76","","",""
